"","X","pid","age","gendermale","dispatch.Dispatch","qg12","qg10Yes","qg1001","qg901","qg702","qn4003Yes","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qea0同居","qea0在婚","qea0未婚","qea0离婚","qp605.公费治疗","qp605.城镇居民","qp605.城镇治疗","qp605.新型农村","qp605.补充医疗","qu201Yes","qu202Yes","qu802","qu702","w01","kwa2_b_1不喜欢学校","kwa2_b_1学业成绩","kwa2_b_1经济困难","kwa2_b_1身体健康","qn203Yes","qn4001Yes","qn201_b_1","qn202"
"70","70","120102103",-5.99830261881668,1,1,11454.3545454545,"1",-267.406211180124,-286.300899427637,-1127.9655596556,"1","3","2","0","0","10","10",1.38727780991276,"0","1","0","0","0","0","0","1","0","1","1","5","7","4","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"71","71","120111102",-3.99830261881668,1,0,51454.3545454545,"1",-17.4062111801242,-186.300899427637,-627.965559655597,"0","5","5","0","5","8","8",1.38727780991276,"0","1","0","0","0","0","1","0","0","1","1","5","1","6","0","0","0","0","0","0",0.840942204953861,2.50870786516854
"72","72","120113101",26.0016973811833,1,0,11454.3545454545,"0",22.5937888198758,163.699100572363,-427.965559655596,"0","4","4","1","5","5","6",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","1","5","1","6","0","0","0","0","0","0",-0.159057795046139,2.50870786516854
"73","73","120129103",-11.9983026188167,0,0,31454.3545454545,"0",122.593788819876,263.699100572363,-1027.9655596556,"0","4","2","0","6","6","6",0.1312152257835,"0","0","1","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",2.84094220495386,1.50870786516854
"74","74","120131101",9.00169738118332,0,0,-8545.64545454545,"1",232.593788819876,-36.300899427637,-627.965559655597,"1","4","4","0","1","10","6",-0.70615983030267,"0","1","0","0","0","0","1","0","0","1","0","4","1","8","0","0","0","0","0","0",0.840942204953861,0.50870786516854
"75","75","121095551",-8.99830261881668,1,0,-17345.6454545455,"1",-217.406211180124,-266.300899427637,-627.965559655597,"1","2","4","0","6","5","6",0.549902753826586,"0","1","0","0","0","0","1","0","0","1","1","4","1","6","0","0","0","0","0","0",-2.15905779504614,0.50870786516854
"76","76","121265551",-4.99830261881668,1,0,-45895.6454545455,"0",-67.4062111801242,-236.300899427637,-1127.9655596556,"0","3","4","0","6","7","9",-0.70615983030267,"0","1","0","0","0","1","0","0","0","1","1","5","1","7","0","0","0","0","1","0",-2.15905779504614,2.50870786516854
"77","77","123731551",-11.9983026188167,1,0,31454.3545454545,"0",-17.4062111801242,-256.300899427637,372.034440344403,"0","4","4","0","5","10","5",0.1312152257835,"0","1","0","0","0","0","1","0","0","1","1","5","1","6","0","0","0","0","0","0",-1.15905779504614,2.50870786516854
"78","78","124079501",-5.99830261881668,1,0,-6545.64545454545,"0",-47.4062111801242,-136.300899427637,-827.965559655597,"0","4","4","0","5","10","10",0.549902753826586,"0","1","0","0","0","0","1","0","0","1","1","5","1","6","0","0","1","0","0","0",-2.15905779504614,-4.49129213483146
"79","79","125984553",-7.99830261881668,1,0,-4545.64545454545,"0",-227.406211180124,-536.300899427637,-1127.9655596556,"0","4","4","0","0","10","7",0.549902753826586,"0","1","0","0","0","0","0","1","0","1","0","2","4","4","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"80","80","128367502",-5.99830261881668,1,0,1454.35454545455,"0",122.593788819876,-336.300899427637,-627.965559655597,"0","4","5","0","0","9","7",0.1312152257835,"0","1","0","0","0","0","0","0","0","1","1","5","3","4","0","0","0","0","0","0",-2.15905779504614,-4.49129213483146
